,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,SUSHI-USD,2.89041460840929,7.0
1,ZEC-USD,AAVE-USD,0.25758061646103547,10.0
2,ZEC-USD,XTZ-USD,27.854216705630524,11.0
3,ZEC-USD,YFI-USD,0.0037659709410412883,12.0
4,ZEC-USD,ALGO-USD,141.65564309328107,10.0
5,ZEC-USD,CRV-USD,56.490504229510165,15.0
6,ZEC-USD,CELO-USD,31.381734428355475,23.0
7,AAVE-USD,XTZ-USD,108.10024181882743,14.0
8,AAVE-USD,YFI-USD,0.01461740389448005,10.0
9,AAVE-USD,DOGE-USD,637.4234955675722,11.0
10,AAVE-USD,ALGO-USD,549.8616261922383,6.0
11,ETC-USD,RUNE-USD,4.780404527904896,21.0
12,ETC-USD,MKR-USD,0.011190535959144373,10.0
13,ETC-USD,NEAR-USD,4.012882695098954,8.0
14,ETC-USD,AVAX-USD,0.8271051586846633,9.0
15,ETC-USD,XLM-USD,282.2491218856421,22.0
16,XTZ-USD,YFI-USD,0.0001351933380936931,9.0
17,XTZ-USD,DOGE-USD,5.895908523120859,6.0
18,XTZ-USD,CRV-USD,2.028043494225625,9.0
19,YFI-USD,DOGE-USD,43607.05660631613,6.0
20,YFI-USD,ALGO-USD,37606.21303003436,9.0
21,RUNE-USD,COMP-USD,0.10458963486459652,17.0
22,RUNE-USD,SUSHI-USD,5.30298519761441,9.0
23,DOGE-USD,COMP-USD,0.0026833713642908,6.0
24,DOGE-USD,ALGO-USD,0.8622348370890269,7.0
25,DOGE-USD,CRV-USD,0.34393513340738624,8.0
26,DOGE-USD,DOT-USD,0.0225624534360856,5.0
27,DOGE-USD,ZRX-USD,0.3033643228431504,14.0
28,DOGE-USD,SUSHI-USD,0.13603548725518252,7.0
29,DOGE-USD,XLM-USD,1.5141034703300398,6.0
30,MKR-USD,CRV-USD,5727.010778082644,18.0
31,MKR-USD,SUSHI-USD,2265.5996977595223,12.0
32,MKR-USD,SNX-USD,949.3455558741573,23.0
33,COMP-USD,ALGO-USD,321.2558996970466,9.0
34,COMP-USD,CRV-USD,128.15195762159567,9.0
35,COMP-USD,NEAR-USD,8.018264568827577,12.0
36,COMP-USD,DOT-USD,8.406388305378213,9.0
37,COMP-USD,SUSHI-USD,50.690002599471875,6.0
38,COMP-USD,XLM-USD,564.1005564143403,11.0
39,ALGO-USD,CRV-USD,0.3987808226969453,11.0
40,MATIC-USD,DOT-USD,0.09934987719048577,12.0
41,MATIC-USD,ZRX-USD,1.33591477366095,16.0
42,MATIC-USD,AVAX-USD,0.019534763895946522,11.0
43,MATIC-USD,XLM-USD,6.667313433944794,10.0
44,TRX-USD,BTC-USD,1.6534332412778765e-06,3.0
45,TRX-USD,ADA-USD,0.24873377506241723,9.0
46,TRX-USD,ETH-USD,2.989779541437363e-05,17.0
47,CRV-USD,NEAR-USD,0.06255055283454579,11.0
48,CRV-USD,XLM-USD,4.400336357266982,17.0
49,CRV-USD,EOS-USD,0.5825266187839959,12.0
50,NEAR-USD,ZRX-USD,14.095476362081708,6.0
51,NEAR-USD,SUSHI-USD,6.319288710394219,6.0
52,NEAR-USD,AVAX-USD,0.20606883998456488,12.0
53,NEAR-USD,XLM-USD,70.324066876853,15.0
54,DOT-USD,SUSHI-USD,6.028496273422253,8.0
55,DOT-USD,XLM-USD,67.09877665731517,13.0
56,BTC-USD,CELO-USD,79503.6287686889,4.0
57,BTC-USD,1INCH-USD,146187.33057522247,4.0
58,BTC-USD,ADA-USD,148029.87979079012,3.0
59,BTC-USD,ENJ-USD,198230.6132142343,7.0
60,BTC-USD,ZRX-USD,126364.92650139904,4.0
61,BTC-USD,SUSHI-USD,56630.16866031754,4.0
62,BTC-USD,AVAX-USD,1848.6964584035825,4.0
63,BTC-USD,SNX-USD,23697.486935551522,5.0
64,BTC-USD,UNI-USD,6453.480208726378,4.0
65,BTC-USD,ETH-USD,17.791097030541767,3.0
66,BTC-USD,XLM-USD,630882.4436327181,4.0
67,BTC-USD,EOS-USD,83498.20562511506,4.0
68,BTC-USD,ATOM-USD,8011.19668003932,3.0
69,BTC-USD,LTC-USD,807.3250859273361,3.0
70,ADA-USD,LTC-USD,0.005453583802483926,10.0
71,ZRX-USD,SUSHI-USD,0.4481727193006653,10.0
72,ZRX-USD,AVAX-USD,0.01461796098643463,7.0
73,ZRX-USD,XLM-USD,4.987868861563726,16.0
74,SUSHI-USD,XLM-USD,11.125079836797065,11.0
75,SUSHI-USD,EOS-USD,1.4726352558516784,12.0
76,AVAX-USD,XLM-USD,341.217344555529,10.0
77,AVAX-USD,LTC-USD,0.43626025867742846,22.0
78,ETH-USD,ATOM-USD,450.0756489471192,14.0
79,ETH-USD,LTC-USD,45.359014409793275,10.0
